,wine_name,taster,desc,rating,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer,badge
1728,Jamie Slone Wines 2013 Duo Reserve Cabernet Sauvignon (Happy Canyon of Santa Barbara),Matt Kettmann,"Baked red currants and boysenberry paste meet with sweet wood, charcoal-grilled meat and toast on the nose of this bottling, which includes 2% Petit Verdot. It's quite expressive on the palate, showing flavors of pencil shavings, ripe berries and Concord grapes.",91,$72,Duo Reserve,Cabernet Sauvignon,"Happy Canyon of Santa Barbara, Central Coast, California, US",Jamie Slone Wines,14%,750 ml,Red,10/1/2018,Not rated yet [Add Your Review],,
1729,Kenwood 2012 Pinot Gris (Russian River Valley),,"With fresh, ripe lime, mango, white pepper and vanilla flavors that are brightened with crisp acidity, this is a nice white wine to drink now. Perfect for sipping at the end of a long day.",87,$16,,Pinot Gris,"Russian River Valley, Sonoma, California, US",Kenwood,13.5%,750 ml,White,9/1/2013,Not rated yet [Add Your Review],,
1730,Geyser Peak 2016 Water Bend Chardonnay (Sonoma County),Virginie Boone,"Fleshy and robust in oak, this wine offers a rounded ripeness of tropical fruit and butterscotch, flavors that work well with each other and take on added richness in the glass.",87,$26,Water Bend,Chardonnay,"Sonoma County, Sonoma, California, US",Geyser Peak,14.5%,750 ml,White,11/1/2018,Not rated yet [Add Your Review],,
1731,Lakewood 2013 Gigliotti Vineyards Pinot Gris (Finger Lakes),Anna Lee C. Iijima,"Whiffs of orange blossom and lemon rind lend vibrancy to this rich, luxuriously textured Pinot Gris. Just off dry in style, it bursts with flavors of white peach showered in grapefruit acidity. Luscious and irresistibly clingy, it lingers long on the palate.",90,$14,Gigliotti Vineyards,Pinot Gris,"Finger Lakes, Finger Lakes, New York, US",Lakewood,13.7%,750 ml,White,12/31/2014,Not rated yet [Add Your Review],,Best Buy
1732,Château Lalande-Borie 2017 Barrel Sample  (Saint-Julien),Roger Voss,"91–93. Barrel Sample. Reduced quantities due to frost have added some concentration and certainly brought out fine, elegant tannins. The black fruit flavors are warm, rich and generous backed by a solid structure to balance the ripe fruit.",92,N/A,Barrel Sample,Bordeaux-style Red Blend,"Saint-Julien, Bordeaux, France",Château Lalande-Borie,N/A,750 ml,Red,4/1/2018,Not rated yet [Add Your Review],Château Ducru-Beaucaillou,
1733,Domaine les Capréoles 2017 Chamodère  (Régnié),Roger Voss,"This wine is initially austere, with more acidity than fruit. Red-berry flavors reveal themselves slowly through the tannins and the touch of spice from wood aging. The wine should be ready to drink from 2020.",88,$88,Chamodère,Gamay,"Régnié, Beaujolais, France",Domaine les Capréoles,13.5%,750 ml,Red,3/1/2019,Not rated yet [Add Your Review],Vineyard Road,
1734,3 Horse Ranch Vineyards 2014 Single Vineyard Cabernet Franc (Eagle Foothills),Sean P. Sullivan,"The aromas seem a bit unsettled, with notes of vanilla, green herb, graphite, cocoa powder and cherry that don't entirely mesh. The fruit flavors are sweet and focused, but the wood seems to get a bit in the way, particularly on the finish.",87,$40,Single Vineyard,Cabernet Franc,"Eagle Foothills, Idaho, US",3 Horse Ranch Vineyards,13.6%,750 ml,Red,11/1/2018,Not rated yet [Add Your Review],,
1735,Garzón 2016 Single Vineyard Pinot Noir (Uruguay),Michael Schachner,"Spice and roasted aromas dominate this wine's earthy nose. It's aggressive on the palate, with scratchy tannins and little fruit. A heavy dose of wood makes for smoky flavors of roasted plum and berry that culminate with clove on the finish.",85,$30,Single Vineyard,Pinot Noir,"Uruguay, Uruguay",Garzón,14.5%,750 ml,Red,6/1/2018,Not rated yet [Add Your Review],Pacific Highway Wines & Spirits,
1736,Santa Duc 2003 Les Blovac Rasteau Red (Côtes du Rhône Villages),Joe Czerwinski,"Thick and powerful. Reflecting the heat of the vintage, it's filled with dark, roasted flavors of date, prune, coffee and molasses. Drink now.",88,$17,Les Blovac Rasteau,Rhône-style Red Blend,"Côtes du Rhône Villages, Rhône Valley, France",Santa Duc,N/A,750 ml,Red,11/1/2006,Not rated yet [Add Your Review],Robert Kacher Selections,
1737,Duca di Salaparuta 2003 Vajasindi Làvico  (Etna),,"This historic Sicilian estate presents its first vintage of its newest wine from the volcanic slopes of the Etna volcano. Indigenous grape Nerello Mascalese is blended with a touch of Merlot to achieve a medium-structured wine with delicate and refined aromas of blue flower, black stone, campfire, cherry and small forest berry. The wine is big in intensity and delicacy.",90,$15,Vajasindi Làvico,"Red Blends, Red Blends","Etna, Sicily & Sardinia, Italy",Duca di Salaparuta,N/A,750 ml,Red,4/1/2007,Not rated yet [Add Your Review],"Aveniù Brands, Inc",Best Buy
1738,Château Puech-Haut 2005 Clos du Pic Pic St. Loup Red (Coteaux du Languedoc),Lauren Buzzeo,"Brooding and mysterious, this is a serious wine that deserves a serious steak to go with it. Dark and ripe with dominant notes of black licorice followed by black berries, plum, milk chocolate and thyme. Full and rich in the mouth with a long finish that evolves from fruit to spice and finally ends on a delicious mocha note.",90,$59,Clos du Pic Pic St. Loup,Rhône-style Red Blend,"Coteaux du Languedoc, Languedoc-Roussillon, France",Château Puech-Haut,14%,750 ml,Red,8/1/2009,Not rated yet [Add Your Review],Bob Bofman Selections,
1739,Animale 2009 Dolcetto (Columbia Valley (WA)),Paul Gregutt,"This alcoholic wine (15.9%, and you can taste it) is also tongue-scrapingly tannic. The black cherry and cassis fruit is fabulous, and quite ripe, but the alcohol starts to burn out the finish. Let the record show that some tasters will love this wine.",86,$24,,"Dolcetto, Italian Red","Columbia Valley (WA), Columbia Valley, Washington, US",Animale,15.9%,750 ml,Red,4/1/2012,Not rated yet [Add Your Review],,
1740,Analivia 2009 Sauvignon Blanc (Rueda),Michael Schachner,"Not a lot to latch onto here. The aromas are sharp and sweaty, while the palate feel is more dull than it should be, while flavors of melon and pickled fruits are briney.",83,$10,,Sauvignon Blanc,"Rueda, Northern Spain, Spain",Analivia,13%,750 ml,White,4/1/2010,Not rated yet [Add Your Review],Félix Solís Avantis,
1741,Dr. Hermann 2012 Ürziger Würzgarten Kabinett Riesling (Mosel),Anna Lee C. Iijima,"Intense aromas of smoke and earth blow off to reveal a summer-sweet bounty of peaches and yellow cherries. It's concentrated and honeyed, but struck with an eye-opening jolt of tart tangerine and lemon acidity. The finish is brisk and cutting.",88,$22,Ürziger Würzgarten Kabinett,Riesling,"Mosel, Germany",Dr. Hermann,8%,750 ml,White,12/1/2014,Not rated yet [Add Your Review],"Broadbent Selections, Inc",
1742,Segura Viudas NV Reserva Heredad Brut Sparkling (Cava),Michael Schachner,"Dusty aromas of apple and mild yeast form the bouquet on this traditional Cava. In the mouth, it's frothy and foamy on contact, while the flavors veer from peppery and dry to apple and citrus. This finishes nice and peppery, with proper dryness for a brut sparkler.",87,$25,Reserva Heredad Brut,"Sparkling Blend, Sparkling","Cava, Catalonia, Spain",Segura Viudas,12%,750 ml,Sparkling,5/1/2013,Not rated yet [Add Your Review],Freixenet USA,
1743,Fox Creek NV Vixen Sparkling (South Australia),,"The winery's cellar door markets this sparkler's name on various clothing items (including a man's shirt that says ""Nothing goes down like a Vixen""); if you know an appropriately saucy woman, break open this bubbly. Aromas are inky, and perhaps a little salty, wtih dark plum and ink flavors. Bead is a little coarse at palate entry but softens up soon after. A blend of Shiraz (55%), Cab Franc (30%) and Cab Sauvignon (15%), made nonvintage each year in a solera-like system.",88,$17,Vixen,"Sparkling Blend, Sparkling","South Australia, South Australia, Australia",Fox Creek,N/A,750 ml,Sparkling,3/1/2005,Not rated yet [Add Your Review],Vineyard Brands,
1744,Clos Pons 2015 Jan Petit Red (Costers del Segre),Michael Schachner,"Cherry and raspberry aromas are also stalky and gamy, a likely reflection of the 75% Syrah in this blend with Garnacha. A hard, grabby palate holds flavors of herbal plum and grape skins, while an obtuse finish tastes a little green.",86,$15,Jan Petit,"Red Blends, Red Blends","Costers del Segre, Catalonia, Spain",Clos Pons,13.5%,750 ml,Red,11/1/2017,Not rated yet [Add Your Review],USA Wine West,
1745,Seven Hills 1999 Syrah (Columbia Valley (WA)),,"Very black in color and flavor, with a heavy overlay of black oak and cedar, there's good ripe cherry (black, of course) fruit beneath. Medium-full and plush, it has a black gumdrop finish and barely noticeable tannins. A  one-dimensional black beauty? Yes, but it's still very likable.",87,$20,,Syrah,"Columbia Valley (WA), Columbia Valley, Washington, US",Seven Hills,13%,750 ml,Red,10/1/2001,Not rated yet [Add Your Review],,
1746,Midsummer Cellars 2005 Cañon Creek Vineyard Cabernet Sauvignon (Napa Valley),,"This is so delicious and classic, it's totally enjoyable now, but it has the structural balance to age for quite a while. It impresses for the complex blackberry, currant and cedar flavors and for the quality of the tannins, which are dramatically rich and ripe. Best now and for at least 10 years.",92,$48,Cañon Creek Vineyard,Cabernet Sauvignon,"Napa Valley, Napa, California, US",Midsummer Cellars,14.5%,750 ml,Red,5/1/2008,Not rated yet [Add Your Review],,
1747,La Belle Amie 2001 Special Reserve Pinot Noir (Dealu Mare),,"A light-bodied and slightly underripe wine, judging by the stalky notes, but overall it passes with peppery, red fruit aromas and flavors.",83,$18,Special Reserve,Pinot Noir,"Dealu Mare, Romania",La Belle Amie,13%,750 ml,Red,12/31/2006,Not rated yet [Add Your Review],"Vidalco International, LLC",
1748,Terrace Road 2001 Sauvignon Blanc (Marlborough),,"Defines the balance of Marlborough, from the upfront, juicy-fruity flavors of apples, citrus, and gooseberry, through the bright acidity and honeyed texture to the long, satisfying finish. A gorgonzola cheese with this wine is a textbook combination.",91,$17,,Sauvignon Blanc,"Marlborough, New Zealand",Terrace Road,N/A,750ML,White,11/1/2002,Not rated yet [Add Your Review],1_No Submitting Co,
1749,Casisano 2013 Colombaiolo Riserva  (Brunello di Montalcino),Kerin O’Keefe,"Aromas of plum, pipe tobacco, leather and menthol lead the nose along with a whiff of damp soil. The taut medium-bodied palate offers crushed cranberry, wild cherry and baking spice alongside firm, close-grained tannins. Drink 2021–2028.",92,$145,Colombaiolo Riserva,Sangiovese,"Brunello di Montalcino, Tuscany, Italy",Casisano,14%,750 ml,Red,6/1/2019,Not rated yet [Add Your Review],Vintus LLC,
1750,St. Urbans-Hof 2012 Ockfener Bockstein Erste Lage Auslese Riesling (Mosel),Anna Lee C. Iijima,"Sugar cookies dusted with saffron and blossom notes perfume this dancing, delicate sweet Riesling. It's so subtle and brisk on the palate, but wispy lines of stone fruit, pollen and honey build dramatically through a long, lingering finish.",93,$60,Ockfener Bockstein Erste Lage Auslese,Riesling,"Mosel, Germany",St. Urbans-Hof,8%,750 ml,White,12/1/2014,Not rated yet [Add Your Review],HB Wine Merchants,Editors' Choice
1751,Siro Pacenti 2000  Brunello di Montalcino,Michael Schachner,"This perennial stud struts its stuff once again. Smoke, spice and red-fruit aromas are perfectly interwoven, while the wine itself flows with agile zest. Maybe it doesn't have the layering of the amazing '99, but it's gargantuan on the midpalate and the finish is exotic as it deals nutmeg, marzipan, chocolate, cassis and mint. A proverbial kitchen-sink wine worthy of its reputation. Imported by Michael Skurnik Wines.",93,$75,,Sangiovese,"Brunello di Montalcino, Tuscany, Italy",Siro Pacenti,N/A,750ML,Red,7/1/2005,Not rated yet [Add Your Review],"Skurnik Wines, Inc",Editors' Choice
1752,Château Moya 2015  Castillon Côtes de Bordeaux,Roger Voss,"Produced from organic grapes, this well-formed wine is ready to drink. While it does still have tannins and a firm texture, black fruits give it the right aging and richness. Drink the wine now.",89,N/A,,Bordeaux-style Red Blend,"Castillon Côtes de Bordeaux, Bordeaux, France",Château Moya,15%,750 ml,Red,3/1/2020,Not rated yet [Add Your Review],Gabriella Fine Wines,
1753,Evening Land 2011  Clos de Vougeot,Roger Voss,"Still firm and closed, this is a structured wine, solidly tannic with just hints of fruit. It has a dry feel to it, firm, the acidity and red fruits coming through the leathery, dark texture. The wine needs aging, so drink from 2017.",91,$100,,Pinot Noir,"Clos de Vougeot, Burgundy, France",Evening Land,13%,750 ml,Red,6/1/2014,Not rated yet [Add Your Review],Evening Land Vineyards,
1754,Gamache 2006 Reserve ‘Gamache – Champoux Vineyard Select' Cabernet Sauvignon (Columbia Valley (WA)),Paul Gregutt,"Traditionally a 50/50 blend of old vines from both vineyards, this has benefitted from extra bottle age. Big and somewhat blocky, it opens with a mix of inviting aromas—sage, desert flower, and black cherry. From there it fills the mouth with tart red fruits and more herbs and blossoms, with proportionate tannins.",91,$40,Reserve ‘Gamache – Champoux Vineyard Select',Cabernet Sauvignon,"Columbia Valley (WA), Columbia Valley, Washington, US",Gamache,14.3%,750 ml,Red,11/1/2011,Not rated yet [Add Your Review],,Cellar Selection
1755,Ferrari-Carano 2015 Emilia's Cuvée Chardonnay (Russian River Valley),Virginie Boone,"Perfumed in apple and orange blossom aromas, this is a robust, fleshy wine that leans into an intensity of apple, melon and pineapple flavor, finishing focused and steeped in oak.",88,$38,Emilia's Cuvée,Chardonnay,"Russian River Valley, Sonoma, California, US",Ferrari-Carano,14.3%,750 ml,White,2/1/2018,Not rated yet [Add Your Review],,
1756,Quinta do Noval 1971 Colheita  (Port),Michael Schachner,"A full-bore tawny, it's still going strong, possibly too strong. Rosy in color, there's a faint odor of chlorine to go with the tea and spice aromas. Full-bodied, even a touch heavy. Spicy flavors along with apples, and some honey to the finish. Overall it's overdone.",85,$40,Colheita,"Port, Port Blend","Port, Portugal",Quinta do Noval,20.5%,750 ml,Port/Sherry,3/1/2000,Not rated yet [Add Your Review],William Grant & Sons,
1757,Dog & Pony 2016 La Vaquera Red (California),Matt Kettmann,"This blend of 60% Tempranillo, 20% Carignane and 20% Grenache is very gamy, earthy and leathery on the nose, with damp campfire aromas. It is slightly sour on the sip, with flavors of incense stick, black plum, pine needle and smoke.",86,$30,La Vaquera,"Red Blends, Red Blends","California, California Other, California, US",Dog & Pony,13.25%,750 ml,Red,9/1/2019,Not rated yet [Add Your Review],,
1758,Roessler 2006 Dutton Ranch Pinot Noir (Russian River Valley),,"The grapes are from the Green Valley. The 2006 vintage was very cool, and this wine doesn't seem entirely ripe. There's a green, mint and stem taste to the cherry fruit, and the tannins are astringent. But the oak regimen is beautiful, and a lamb chop will not be a bad pairing.",84,$38,Dutton Ranch,Pinot Noir,"Russian River Valley, Sonoma, California, US",Roessler,14.5%,750 ml,Red,9/1/2008,Not rated yet [Add Your Review],,
1759,Château Loumelat 2015 Cuvée J.J. Lesgourgues  (Blaye Côtes de Bordeaux),Roger Voss,"Produced by the team that makes Château Haut-Selves in the Graves, this wine is elegant, with a light touch of tannins and acidity. The wine offers spice from barrel aging as well as poised black fruit and acidity. Drink from 2021.",90,$15,Cuvée J.J. Lesgourgues,Bordeaux-style Red Blend,"Blaye Côtes de Bordeaux, Bordeaux, France",Château Loumelat,12.5%,750 ml,Red,5/1/2018,Not rated yet [Add Your Review],Baron Francois Ltd,Best Buy
1760,Freeman 2010 Pinot Noir (Russian River Valley),,"A beautiful Pinot to drink now, this is elegant and supple, with crisp acidity and a delightfully light texture. However, there's nothing light about the flavors, which suggest wild forest berry, softened cola, mushroom, dried pine and spice, enhanced with a subtle jacket of sandalwood.",92,$44,,Pinot Noir,"Russian River Valley, Sonoma, California, US",Freeman,14.2%,750 ml,Red,10/1/2012,Not rated yet [Add Your Review],,
1761,Fleur Du Cap 2012 Bergkelder Selection Pinotage (Stellenbosch),Lauren Buzzeo,"This value-minded wine from an iconic producer offers attractive initial scents of brambly berry and cherry, with additional touches of marzipan and vanilla that lend decadence. The medium-weight palate shows great balance, with ample acidity and firm yet fine tannins that frame the bright red-fruit flavors. Drink now–2018.",89,$12,Bergkelder Selection,Pinotage,"Stellenbosch, South Africa",Fleur Du Cap,14.1%,750 ml,Red,7/1/2015,Not rated yet [Add Your Review],Maisons Marques & Domaines USA,
1762,Leeuwin Estate 2018 Siblings Shiraz (Margaret River),Christina Pickard,"This vintage is quite young and closed at the moment. After lots of swirling and time in glass it opens somewhat, revealing fresh black cherry, blueberry, licorice and sweet spices. The oak is prominent, and, as in previous years, a little on the soapy side. Things improve significantly on the palate, however, where a lift of refreshing acidity adds tang to the already fresh fruit. The tannins are fine and chalky, and a line of crushed Mediterranean herbs makes its way to the finish. Drink 2022–2035.",90,$20,Siblings,Shiraz,"Margaret River, Western Australia, Australia",Leeuwin Estate,13.5%,750 ml,Red,12/1/2020,Not rated yet [Add Your Review],Old Bridge Cellars,
1763,Adelsheim 2008 Zenith Vineyard Pinot Noir (Eola-Amity Hills),Paul Gregutt,"Though Adelsheim offers a large assortment of single-vineyard Pinots, this is the first they've made from Zenith. It surely won't be the last. Concentrated, thick black raspberry and black cherry fruit centers a substantial wine, laced with vivid streaks of vanilla, tobacco and spice. The immediate impact of the fruit is amplified by the density on the palate, and the finish, loaded with baking spices, reflects the aging in one-third new French oak barrels.",93,$90,Zenith Vineyard,Pinot Noir,"Eola-Amity Hills, Willamette Valley, Oregon, US",Adelsheim,N/A,750 ml,Red,3/1/2011,Not rated yet [Add Your Review],,
1764,Sergio 2013 Arcano Vineyard Cabernet Sauvignon (Napa Valley),Virginie Boone,"From a vineyard in the Atlas Peak foothills, this wine offers plummy black cherry fruit accented with clove, pepper and leather. Soft and well integrated on the palate, it shows a boldness of flavor that's powerful and earthy.",92,$125,Arcano Vineyard,Cabernet Sauvignon,"Napa Valley, Napa, California, US",Sergio,14.6%,750 ml,Red,5/1/2017,Not rated yet [Add Your Review],,
1765,Anam Cara 2006 Nicholas Estate Pinot Noir (Chehalem Mountains),Paul Gregutt,"Though the winery lists just 22% new oak in the cuvée, it is the new oak scents of toasted hazelnuts and burnt butter that dominate the entry of this young Pinot Noir. In the mouth there is sufficient fruit to compete with, if not quite match, the barrels. It's a pretty Pinot, with plum, berry and herb flavors; the tannins have some earthy flavors as well, and the barrel influence continues into the finish with coffee grounds and baking chocolate.",89,$33,Nicholas Estate,Pinot Noir,"Chehalem Mountains, Willamette Valley, Oregon, US",Anam Cara,N/A,750 ml,Red,11/1/2008,Not rated yet [Add Your Review],,
1766,Boeger 1998 Sauvignon Blanc (El Dorado County),,"A bright and lively wine with good acidity and a lean, engaging finish. The fruit is on the citrus side, but with some depth and concentration.",87,$13,,Sauvignon Blanc,"El Dorado County, Sierra Foothills, California, US",Boeger,N/A,750 ml,White,3/1/2000,Not rated yet [Add Your Review],,
1767,Glia 2013 Sarba (Huşi),Jeff Jenssen,"Sarba is an indigenous Romanian grape, and this bottling is a good example of a well-made wine from the variety. It is light amber in the glass with aromas of sweet fruit and ripe peach. On the palate there are flavors of ripe grapefruit, peach and pear. The finish is soft and silky.",87,$22,,"Sarba, Other White","Huşi, Romania",Glia,13%,750 ml,White,11/1/2019,Not rated yet [Add Your Review],Albus Imports LLC,
1768,Domaine de la Terre Rouge 2000 Syrah (Sierra Foothills),,"Beautiful dark color, with rich aromas of berries, plums, smoke, meat and white pepper. Drinks lush and full-bodied, a very fine wine.  Perfect with short ribs.",90,$24,,Syrah,"Sierra Foothills, Sierra Foothills, California, US",Domaine de la Terre Rouge,N/A,750ML,Red,6/1/2003,Not rated yet [Add Your Review],,
1769,Bridgeview 1999 Pinot Noir (Oregon),Paul Gregutt,"This Pinot has a forward, spicy scent with some very pretty cranberry/black cherry fruit. It's front loaded for flavor, and falls off in the mid-palate. The finish is tannic and quite tough, suggesting the wine was left on the skins a bit too long.",84,$12,,Pinot Noir,"Oregon, Oregon Other, Oregon, US",Bridgeview,12%,750 ml,Red,11/1/2001,Not rated yet [Add Your Review],,
1770,Vina Robles 2007 Jardine Sauvignon Blanc (Paso Robles),,"With no oak influence, this Sauvignon Blanc was cool-fermented, preserving fresh fruit, and it did not undergo malolactic fermentation, so that the acidity is brisk. It was aged on the lees. That is a great formula for keeping prices low while crafting a wine of creamy interest. With citrus, lemongrass, melon, fig and vanilla flavors, it's a stunning buy for this price.",90,$14,Jardine,Sauvignon Blanc,"Paso Robles, Central Coast, California, US",Vina Robles,14.1%,750 ml,White,9/1/2008,Not rated yet [Add Your Review],,Best Buy
1771,Madroña 2004 Reserve Quintet Red (El Dorado),,"This blend of all the Bordeaux varieties satisfies for its wealth of well-ripened fruit. It just floods the mouth with the flavors of crushed, perfectly ripe blackberries, black raspberries and wild cherries, picked under the warm summer sun. Oak adds smoky nuances. A good job from Madrona. Drink now.",87,$28,Reserve Quintet,Bordeaux-style Red Blend,"El Dorado, Sierra Foothills, California, US",Madroña,13.9%,750 ml,Red,5/1/2008,Not rated yet [Add Your Review],,
1772,Don Bernardino 2012 Amandi Mencía (Ribeira Sacra),Michael Schachner,"Earthy plum and cherry aromas score points for being clear and direct. The palate on this varietal Mencía is round, smooth and just right. Lightly briny, earthy plum and cherry flavors hold steady on the finish, with a dash of saltiness.",90,$17,Amandi,"Mencía, Spanish Red","Ribeira Sacra, Galicia, Spain",Don Bernardino,13%,750 ml,Red,5/1/2016,Not rated yet [Add Your Review],The Spanish Acquisition,
1773,Fielding Hills 2015 Estate Riverbend Vineyard Malbec (Wahluke Slope),Sean P. Sullivan,"This is the winery's third vintage of this wine. Aged in a combination of French and American oak (50% new), the aromas are generous, with notes of coconut, vanilla, cherry, graphite and spice. The full-bodied fruit flavors are plump and rich, with fruit and barrel intertwining on the finish. It brings a big yum factor.",91,$42,Estate Riverbend Vineyard,Malbec,"Wahluke Slope, Columbia Valley, Washington, US",Fielding Hills,16%,750 ml,Red,10/1/2018,Not rated yet [Add Your Review],,
1774,JM Cellars 2007 Tre Fanciulli Red (Columbia Valley (WA)),Paul Gregutt,"The best blend from JM Cellars is Tre Fanciulli, here composed of 67% Cabernet Sauvignon, 19% Merlot, and 14% Syrah. You'll find pleasing strawberry and Bing cherry fruit, along with claret-like structure and nicely applied cinnamon and baking spice accents. It could almost fool you into thinking you were drinking an excellent Dry Creek Zinfandel.",91,$42,Tre Fanciulli,"Red Blends, Red Blends","Columbia Valley (WA), Columbia Valley, Washington, US",JM Cellars,N/A,750 ml,Red,4/1/2011,Not rated yet [Add Your Review],,
1775,Château de Laville 2012  Cadillac Côtes de Bordeaux,Roger Voss,"With spice and new wood balancing the generous black fruits (40% Merlot and 25% each Cabernet Franc and Cabernet Sauvignon), this rich wine has good potential. It is warm and generous, packed with both acidity and a solid structure. Drink from 2017.",87,$15,,Bordeaux-style Red Blend,"Cadillac Côtes de Bordeaux, Bordeaux, France",Château de Laville,12.5%,750 ml,Red,12/31/2014,Not rated yet [Add Your Review],Jandell Selections,
1776,Fournier Père et Fils 2010 Côtes de Morogues  (Menetou-Salon),Roger Voss,"One of the small Sauvignon Blanc areas close to Sancerre, Menetou-Salon produces a light, crisp and herbal style of wine. This fits that bill well, its freshness contained within the flavors of hedgerow fruits and tangy acids.",88,$22,Côtes de Morogues,Sauvignon Blanc,"Menetou-Salon, Loire Valley, France",Fournier Père et Fils,12.5%,750 ml,White,9/1/2012,Not rated yet [Add Your Review],David Milligan Selections,
1777,Negretti 2008  Barbera d'Alba Superiore,,"There's a plump, meaty note to the bouquet of this darkly concentrated Barbera d'Alba Superiore that helps usher forth mature aromas of prune, black cherry and moist pipe tobacco. Those ripe fruit tones help dampen the grape's natural acidity.",88,$20,,Barbera,"Barbera d'Alba Superiore, Piedmont, Italy",Negretti,14%,750 ml,Red,9/1/2011,Not rated yet [Add Your Review],Delectatio Wines,
1778,Solaria 2004  Brunello di Montalcino,,"Solaria does a nice job of portraying aromas that are typical of aged Sangiovese. You'll recognize cigar box, smoked bacon, leather and forest floor. This Brunello comes across as austere and sophisticated although it does liven up considerably in the mouth. Pair it with succulent cuts of meat.",90,N/A,,"Sangiovese Grosso, Sangiovese","Brunello di Montalcino, Tuscany, Italy",Solaria,N/A,750 ml,Red,6/1/2009,Not rated yet [Add Your Review],1_No Submitting Co,
1779,ZO Wines 2017 Ganesha Red (Northern Sonoma),Virginie Boone,"This small-production wine blends 55% Cabernet Sauvignon with 33% Zinfandel and 12% Petit Verdot. Tasting of raisin cake, cherry cordial and oak, it offers bright flashes of acidity throughout, freshening the soft integrated tannin.",88,$49,Ganesha,"Red Blends, Red Blends","Northern Sonoma, Sonoma, California, US",ZO Wines,14%,750 ml,Red,5/1/2020,Not rated yet [Add Your Review],,
1780,Williams Selyem 2018 Westside Road Neighbors Pinot Noir (Russian River Valley),Virginie Boone,"A perennial favorite, this wine brings together the grapes of many sites into one, delighting the senses in its inviting red-fruit flavors, hint of allspice and undeniably velvety texture. Complex, seductive and lengthy, it is a simply beautiful wine that remains on the mind long after it's gone.",97,$75,Westside Road Neighbors,Pinot Noir,"Russian River Valley, Sonoma, California, US",Williams Selyem,13.7%,750 ml,Red,9/1/2020,Not rated yet [Add Your Review],,
1781,Neyers 2015 Neyers Ranch Cabernet Sauvignon (Napa Valley),Virginie Boone,"From the producer's home site, this wine opens with a tobacco-laden nose, leading to a palate with moderate structure and plenty of grip. Savory in character, this is defined by tones of dried herb, cassis and toasted oak.",90,$65,Neyers Ranch,Cabernet Sauvignon,"Napa Valley, Napa, California, US",Neyers,14.4%,750 ml,Red,9/1/2018,Not rated yet [Add Your Review],,
1782,Goat Bubbles 2014 Solomon Hills Vineyard Rosé Sparkling (Santa Maria Valley),Matt Kettmann,"This sparkler from a coveted property on the western edge of the appellation offers lots of yeasty and toasty aromas as well as raspberry, lemon peel and a touch of damp earth. Classic bready flavors show on the sip, which is cut but a sharp citrusy edge and tart raspberry.",91,$42,Solomon Hills Vineyard Rosé,"Sparkling Blend, Sparkling","Santa Maria Valley, Central Coast, California, US",Goat Bubbles,12.8%,750 ml,Sparkling,11/1/2017,Not rated yet [Add Your Review],,
1783,Domaine de la Bouissiere 2001 La Font de Tonin  (Gigondas),Roger Voss,"This wine is named after Thierry Maravel's father Antonin, who built a small fountain in the family vineyards. It is powered by wood at this stage in its life. But under the new wood tastes, there is powerful, dense fruit that will come through and dominate with its rich licorice and tar flavors.",92,$35,La Font de Tonin,Rhône-style Red Blend,"Gigondas, Rhône Valley, France",Domaine de la Bouissiere,N/A,750ML,Red,3/1/2004,Not rated yet [Add Your Review],"Skurnik Wines, Inc",
1784,Joseph Perrier 2005 Brut Rosé Vintage  (Champagne),Roger Voss,"A shallot-skin-colored wine, this has ripe red berry fruits and a soft texture. It is attractively on the way to maturity, with hints of toast coming through the acidity and rounded character at the end. The wine is ready to drink.",89,$68,Brut Rosé Vintage,"Champagne Blend, Sparkling","Champagne, Champagne, France",Joseph Perrier,12%,750 ml,Sparkling,12/1/2015,Not rated yet [Add Your Review],"Exclusive Imports, Inc",
1785,Hecht & Bannier 2014 Rosé (Côtes de Provence),Roger Voss,"This beautifully balanced wine shows rich red fruits as well as crisp freshness. It has a mineral texture, aromatic fruitiness and a lightly peppery aftertaste. The blend is 40% Grenache, 40% Cinsault and 20% Syrah. Drink now.",89,$18,,Rosé,"Côtes de Provence, Provence, France",Hecht & Bannier,12.5%,750 ml,Rose,7/1/2015,Not rated yet [Add Your Review],"Frederick Wildman & Sons, Ltd",
1786,Tasca d'Almerita 2008 Leone d'Almerita White (Sicilia),,"From vineyards ranging from 700 to 900 meters above sea level, Tasca's blend of Catarratto and Chardonnay offers fluid aromas of white flower, brimstone and stone fruit. It's an easy and refreshing wine that would pair perfectly with fried calamari.",87,N/A,Leone d'Almerita,White Blend,"Sicilia, Sicily & Sardinia, Italy",Tasca d'Almerita,12.5%,750 ml,White,12/1/2009,Not rated yet [Add Your Review],The Winebow Group LLC,
1787,Château Pavie Decesse 2013 Barrel Sample  (Saint-Émilion),Roger Voss,"92–94. Barrel Sample. This is an aromatic wine, with great acidity and fine black-currant fruit. An undertow of tight tannin gives it structure, although the fruit is very forward.",93,N/A,Barrel Sample,Bordeaux-style Red Blend,"Saint-Émilion, Bordeaux, France",Château Pavie Decesse,N/A,750 ml,Red,4/1/2014,Not rated yet [Add Your Review],Château Pavie,
